"","Item","Team 10101Edutronic","Team 10102Ecotech Team 1202","Team 10103BeSmart","Team 10104Sonix","Team 10105TechTastic","Team 10106EduConnected","Team 10107Green Connection","Team 10108Team 1208","Team 10109FirstFuture","Team 10110 MD","Team 10111GeishaTech","Team 10112IGL","Team 10113Suture to Future","Team 10114BuzzNet","Team 10115Circle","Team 10116Happy Laps","Team 10117Green Wire","Team 10118YGTech","Team 10119Terra","Team 10120GreenTech","Team 10121PBS Laptops"
"323","ECOBOOK_EUROPA_VOEDING_KWALITEIT","3","3","3","4","3","4","3","3","3","3","3","3","3","5","3","3","3","3","5","3","3"
"324","ECOBOOK_EUROPA_BEHUIZING_KWALITEIT","3","3","3","4","4","4","3","3","3","3","3","3","3","5","3","3","3","3","4","3","3"
"325","ECOBOOK_AMERIKA_PROCESSOR_KWALITEIT","3","3","3","3","3","4","3","3","3","3","3","4","3","5","4","3","3","4","3","3","3"
"326","ECOBOOK_AMERIKA_MOEDERBORD_KWALITEIT","3","3","3","3","3","4","4","3","3","3","3","4","3","5","4","3","3","4","3","3","3"
"327","ECOBOOK_AMERIKA_GEHEUGEN_KWALITEIT","3","3","3","3","3","4","4","3","3","3","3","4","3","5","3","3","3","4","3","3","3"
"328","ECOBOOK_AMERIKA_HARDDISK_KWALITEIT","3","3","4","3","5","4","3","3","3","3","3","4","3","5","3","3","3","4","3","4","3"
"329","ECOBOOK_AMERIKA_VIDEOKAART_KWALITEIT","3","3","3","3","3","4","3","3","3","3","3","4","3","5","3","3","3","4","3","4","3"
"330","ECOBOOK_AMERIKA_MONITOR_KWALITEIT","3","3","3","3","5","4","4","3","3","3","3","4","3","5","3","3","3","4","3","3","3"
"331","ECOBOOK_AMERIKA_VOEDING_KWALITEIT","3","3","3","3","3","4","3","3","3","3","3","4","3","5","3","3","3","4","3","3","3"
"332","ECOBOOK_AMERIKA_BEHUIZING_KWALITEIT","3","3","3","3","4","4","3","3","3","3","3","4","3","5","3","3","3","4","3","3","3"
"333","ECOBOOK_AZIE_PROCESSOR_KWALITEIT","3","3","3","4","3","3","3","3","4","3","3","3","3","5","4","3","3","3","3","3","3"
"334","ECOBOOK_AZIE_MOEDERBORD_KWALITEIT","3","3","3","4","3","3","3","3","4","3","3","3","3","5","4","3","3","3","3","3","3"
"335","ECOBOOK_AZIE_GEHEUGEN_KWALITEIT","3","3","3","4","3","3","3","3","4","3","3","3","3","5","3","3","3","3","3","3","3"
"336","ECOBOOK_AZIE_HARDDISK_KWALITEIT","3","3","3","4","5","3","3","3","4","3","3","3","3","5","3","3","3","3","3","3","3"
"337","ECOBOOK_AZIE_VIDEOKAART_KWALITEIT","3","3","3","4","3","3","3","3","4","3","3","3","3","5","3","3","3","3","3","3","3"
"338","ECOBOOK_AZIE_MONITOR_KWALITEIT","3","3","3","4","5","3","3","3","4","3","3","3","3","5","3","3","3","3","3","3","3"
